Gene set	size	genes
Op:aaeXAB	3	b3242,b3241,b3240
Op:aas-lplT	2	b2836,b2835
Op:abgABT-ogt	4	b1338,b1337,b1336,b1335
Op:abpAB	2	b2628,b2627
Op:accBC	2	b3255,b3256
Op:aceBAK	3	b4014,b4015,b4016
Op:ackA-pta	2	b2296,b2297
Op:acrAB	2	b0463,b0462
Op:acrEF	2	b3265,b3266
Op:acs-yjcH-actP	3	b4069,b4068,b4067
Op:ada-alkB	2	b2213,b2212
Op:agaS-kbaY-agaBCDI	6	b3136,b3137,b3138,b3139,b3140,b3141
Op:ahpCF	2	b0605,b0606
Op:alaA-yfbR	2	b2290,b2291
Op:allDCE	3	b0517,b0516,b0515
Op:alsRBACE	5	b4089,b4088,b4087,b4086,b4085
Op:amiA-hemF	2	b2435,b2436
Op:ampDE	2	b0110,b0111
Op:ansA-pncA	2	b1767,b1768
Op:appCBXA	4	b0978,b0979,b4592,b0980
Op:araBAD	3	b0063,b0062,b0061
Op:araE-ygeA	2	b2841,b2840
Op:araFGH	3	b1901,b1900,b4460
Op:argCBH	3	b3958,b3959,b3960
Op:argT-hisJQMP	5	b2310,b2309,b2308,b2307,b2306
Op:arnBCADTEF	7	b2253,b2254,b2255,b2256,b2257,b4544,b2258
Op:aroF-tyrA	2	b2601,b2600
Op:aroKB-damX-dam-rpe-gph-trpS	7	b3390,b3389,b3388,b3387,b3386,b3385,b3384
Op:aroL-yaiA-aroM	3	b0388,b0389,b0390
Op:arsRBC	3	b3501,b3502,b3503
Op:artPIQM	4	b0864,b0863,b0862,b0861
Op:ascFB	2	b2715,b2716
Op:asnC-mioC-mnmG-rsmG	4	b3743,b3742,b3741,b3740
Op:aspA-dcuA	2	b4139,b4138
Op:astCADBE	5	b1748,b1747,b1746,b1745,b1744
Op:atoDAEB	4	b2221,b2222,b2223,b2224
Op:atoSC	2	b2219,b2220
Op:atpIBEFHAGDC	9	b3739,b3738,b3737,b3736,b3735,b3734,b3733,b3732,b3731
Op:bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	8	b0177,b0178,b0179,b0180,b0181,b0182,b0183,b0184
Op:bamB-der	2	b2512,b2511
Op:basRS	2	b4113,b4112
Op:bcsABZC	4	b3533,b3532,b3531,b3530
Op:bcsEFG	3	b3536,b3537,b3538
Op:bdm-sra	2	b1481,b1480
Op:bepA-yfgD	2	b2494,b2495
Op:betIBA	3	b0313,b0312,b0311
Op:bfd-bfr	2	b3337,b3336
Op:bglGFB	3	b3723,b3722,b3721
Op:bglH-yieLK	3	b3720,b3719,b3718
Op:bioBFCD	4	b0775,b0776,b0777,b0778
Op:brnQ-proY	2	b0401,b0402
Op:btsSR	2	b2126,b2125
Op:btuB-murI	2	b3966,b3967
Op:btuCED	3	b1711,b1710,b1709
Op:cadBA	2	b4132,b4131
Op:caiTABCDE	6	b0040,b0039,b0038,b0037,b0036,b0035
Op:carAB	2	b0032,b0033
Op:casABCDE12	7	b2760,b2759,b2758,b2757,b2756,b2755,b2754
Op:cbpAM	2	b1000,b0999
Op:cbrBC	2	b3716,b3717
Op:cecR-ybhGFSR	5	b0796,b0795,b0794,b0793,b0792
Op:chaBC	2	b1217,b1218
Op:chbBCARFG	6	b1738,b1737,b1736,b1735,b1734,b1733
Op:chiPQ	2	b0681,b0682
Op:chpSB	2	b4224,b4225
Op:citCDEFXG	6	b0618,b0617,b0616,b0615,b0614,b0613
