Arch. 1	Arch. 2	H1	statistic	pvalue
(50) 0	(50) 1	two-sided	0.649875525382894	0.515772628585893
(50) 0	2000-(50)	less	-7.66952337589279	8.63183199601066E-15
(50) 0	4355-(50)	less	-6.35861034091241	1.01793558917161E-10
(50) 0	8000-(50)	less	-6.61409575737973	1.86914854175513E-11
(50) 0	2000-1000-(50)	less	-11.6593126223752	1.02848116456567E-31
(50) 0	4355-4355-(50)	less	-11.0454034905726	1.15364379622018E-28
(50) 0	8000-4355-(50)	less	-11.6382288744143	1.31714573572563E-31
(50) 1	2000-(50)	less	-7.80346718646789	3.01145355708476E-15
(50) 1	4355-(50)	less	-6.61409575737973	1.86914854175513E-11
(50) 1	8000-(50)	less	-6.6785872217307	1.20628312552527E-11
(50) 1	2000-1000-(50)	less	-11.6394690948826	1.298133280847E-31
(50) 1	4355-4355-(50)	less	-11.0627665771287	9.50702963077501E-29
(50) 1	8000-4355-(50)	less	-11.6183853469217	1.66179083286581E-31
2000-(50)	4355-(50)	two-sided	2.47299961376621	0.013398428778751
2000-(50)	8000-(50)	two-sided	2.35269822834227	0.018637752751254
2000-(50)	2000-1000-(50)	less	-9.74937310121171	9.28054504930308E-23
2000-(50)	4355-4355-(50)	less	-8.24622589364669	8.17377549339831E-17
2000-(50)	8000-4355-(50)	less	-9.94656815566949	1.30514974556808E-23
4355-(50)	8000-(50)	two-sided	-0.104178519336189	0.917027680289592
4355-(50)	2000-1000-(50)	less	-10.6745775705545	6.69324957012995E-27
4355-(50)	4355-4355-(50)	less	-9.4207146771154	2.24014002502521E-21
4355-(50)	8000-4355-(50)	less	-10.7080635231983	4.66464118704341E-27
8000-(50)	2000-1000-(50)	less	-11.107414513987	5.77270254530966E-29
8000-(50)	4355-4355-(50)	less	-9.79402103807007	5.97244322864358E-23
8000-(50)	8000-4355-(50)	less	-11.0578056952555	1.00476797773968E-28
2000-1000-(50)	4355-4355-(50)	two-sided	1.52051029412105	0.128382773518909
2000-1000-(50)	8000-4355-(50)	two-sided	-0.632512438826863	0.527052083022362
4355-4355-(50)	8000-4355-(50)	two-sided	-1.97939186738759	0.04777190343737
